% Output generated by QOMET v2.1.0 - deltaQ (revision 146)
% time from_id from_node_x from_node_y from_node_z to_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
6.00 0 0.000000 0.000000 0.000000 1 16.000000 10.000000 0.000000 18.8680 -91.6451 8.3549 0.4145 0.7045 11000000.00 2748702.89 0.0021 4.9803 2.0198
6.10 0 0.000000 0.000000 0.000000 1 16.250000 10.000000 0.000000 19.0804 -91.9175 8.0825 0.5443 1.1634 11000000.00 1861492.09 0.0142 6.4008 3.6104
6.20 0 0.000000 0.000000 0.000000 1 16.000000 10.000000 0.000000 18.8680 -91.6451 8.3549 0.4145 0.7045 11000000.00 2748702.89 0.0021 4.9803 2.0198
6.30 0 0.000000 0.000000 0.000000 1 15.750000 10.000000 0.000000 18.6564 -91.3709 8.6291 0.3151 0.4597 11000000.00 3565184.09 0.0003 4.2978 1.4233
6.40 0 0.000000 0.000000 0.000000 1 15.500000 10.000000 0.000000 18.4459 -91.0949 8.9051 0.2391 0.3142 11000000.00 4210891.30 0.0000 3.9454 1.0446
6.50 0 0.000000 0.000000 0.000000 1 15.250000 10.000000 0.000000 18.2363 -90.8170 9.1830 0.1811 0.2211 11000000.00 4694408.44 0.0000 3.7451 0.7961
6.60 0 0.000000 0.000000 0.000000 1 15.000000 10.000000 0.000000 18.0278 -90.5373 9.4627 0.1369 0.1586 11000000.00 5053215.60 0.0000 3.6211 0.6251
6.70 0 0.000000 0.000000 0.000000 1 14.750000 10.000000 0.000000 17.8203 -90.2558 9.7442 0.1033 0.1152 11000000.00 5320416.97 0.0000 3.5397 0.5035
6.80 0 0.000000 0.000000 0.000000 1 14.500000 10.000000 0.000000 17.6139 -89.9725 10.0275 0.0778 0.0844 11000000.00 5520257.12 0.0000 3.4840 0.4150
6.90 0 0.000000 0.000000 0.000000 1 14.250000 10.000000 0.000000 17.4087 -89.6874 10.3126 0.0585 0.0622 11000000.00 5670117.12 0.0000 3.4448 0.3498
7.00 0 0.000000 0.000000 0.000000 1 14.000000 10.000000 0.000000 17.2047 -89.4007 10.5993 0.0439 0.0460 11000000.00 5782629.28 0.0000 3.4167 0.3015
7.10 0 0.000000 0.000000 0.000000 1 13.750000 10.000000 0.000000 17.0018 -89.1123 10.8877 0.0329 0.0340 11000000.00 5867115.60 0.0000 3.3963 0.2655
7.20 0 0.000000 0.000000 0.000000 1 13.500000 10.000000 0.000000 16.8003 -88.8223 11.1777 0.0246 0.0253 11000000.00 5930527.60 0.0000 3.3813 0.2386
7.30 0 0.000000 0.000000 0.000000 1 13.250000 10.000000 0.000000 16.6001 -88.5307 11.4693 0.0184 0.0188 11000000.00 5978081.24 0.0000 3.3703 0.2186
7.40 0 0.000000 0.000000 0.000000 1 13.000000 10.000000 0.000000 16.4012 -88.2376 11.7624 0.0137 0.0139 11000000.00 6013703.17 0.0000 3.3622 0.2036
7.50 0 0.000000 0.000000 0.000000 1 12.750000 10.000000 0.000000 16.2038 -87.9431 12.0569 0.0102 0.0103 11000000.00 6040353.85 0.0000 3.3562 0.1924
7.60 0 0.000000 0.000000 0.000000 1 12.500000 10.000000 0.000000 16.0078 -87.6471 12.3529 0.0076 0.0077 11000000.00 6060266.07 0.0000 3.3518 0.1841
7.70 0 0.000000 0.000000 0.000000 1 12.250000 10.000000 0.000000 15.8134 -87.3499 12.6501 0.0057 0.0057 11000000.00 6075123.16 0.0000 3.3485 0.1779
7.80 0 0.000000 0.000000 0.000000 1 12.000000 10.000000 0.000000 15.6205 -87.0515 12.9485 0.0042 0.0042 11000000.00 6086193.16 0.0000 3.3460 0.1733
7.90 0 0.000000 0.000000 0.000000 1 11.750000 10.000000 0.000000 15.4293 -86.7519 13.2481 0.0031 0.0031 11000000.00 6094430.13 0.0000 3.3442 0.1698
8.00 0 0.000000 0.000000 0.000000 1 11.500000 10.000000 0.000000 15.2398 -86.4513 13.5487 0.0023 0.0023 11000000.00 6100550.96 0.0000 3.3428 0.1673
8.10 0 0.000000 0.000000 0.000000 1 11.250000 10.000000 0.000000 15.0520 -86.1498 13.8502 0.0017 0.0017 11000000.00 6105093.51 0.0000 3.3418 0.1654
8.20 0 0.000000 0.000000 0.000000 1 11.000000 10.000000 0.000000 14.8661 -85.8475 14.1525 0.0013 0.0013 11000000.00 6108460.66 0.0000 3.3411 0.1640
8.30 0 0.000000 0.000000 0.000000 1 10.750000 10.000000 0.000000 14.6820 -85.5446 14.4554 0.0009 0.0009 11000000.00 6110953.73 0.0000 3.3405 0.1629
8.40 0 0.000000 0.000000 0.000000 1 10.500000 10.000000 0.000000 14.5000 -85.2412 14.7588 0.0007 0.0007 11000000.00 6112797.73 0.0000 3.3401 0.1622
8.50 0 0.000000 0.000000 0.000000 1 10.250000 10.000000 0.000000 14.3200 -84.9374 15.0626 0.0005 0.0005 11000000.00 6114160.36 0.0000 3.3398 0.1616
8.60 0 0.000000 0.000000 0.000000 1 10.000000 10.000000 0.000000 14.1421 -84.6334 15.3666 0.0004 0.0004 11000000.00 6115166.48 0.0000 3.3396 0.1612
8.70 0 0.000000 0.000000 0.000000 1 9.750000 10.000000 0.000000 13.9665 -84.3294 15.6706 0.0003 0.0003 11000000.00 6115908.84 0.0000 3.3395 0.1609
8.80 0 0.000000 0.000000 0.000000 1 9.500000 10.000000 0.000000 13.7931 -84.0256 15.9744 0.0002 0.0002 11000000.00 6116456.29 0.0000 3.3393 0.1606
8.90 0 0.000000 0.000000 0.000000 1 9.250000 10.000000 0.000000 13.6221 -83.7223 16.2777 0.0002 0.0002 11000000.00 6116859.85 0.0000 3.3392 0.1605
9.00 0 0.000000 0.000000 0.000000 1 9.000000 10.000000 0.000000 13.4536 -83.4195 16.5805 0.0001 0.0001 11000000.00 6117157.27 0.0000 3.3392 0.1604
9.10 0 0.000000 0.000000 0.000000 1 8.750000 10.000000 0.000000 13.2877 -83.1177 16.8823 0.0001 0.0001 11000000.00 6117376.45 0.0000 3.3391 0.1603
9.20 0 0.000000 0.000000 0.000000 1 9.100000 10.000000 0.000000 13.5207 -83.5405 16.4595 0.0001 0.0001 11000000.00 6117049.07 0.0000 3.3392 0.1604
9.30 0 0.000000 0.000000 0.000000 1 9.450000 10.000000 0.000000 13.7587 -83.9649 16.0351 0.0002 0.0002 11000000.00 6116547.14 0.0000 3.3393 0.1606
9.40 0 0.000000 0.000000 0.000000 1 9.800000 10.000000 0.000000 14.0014 -84.3902 15.6098 0.0003 0.0003 11000000.00 6115777.87 0.0000 3.3395 0.1609
9.50 0 0.000000 0.000000 0.000000 1 10.150000 10.000000 0.000000 14.2486 -84.8158 15.1842 0.0004 0.0004 11000000.00 6114599.78 0.0000 3.3397 0.1614
9.60 0 0.000000 0.000000 0.000000 1 10.500000 10.000000 0.000000 14.5000 -85.2412 14.7588 0.0007 0.0007 11000000.00 6112797.73 0.0000 3.3401 0.1622
9.70 0 0.000000 0.000000 0.000000 1 10.850000 10.000000 0.000000 14.7554 -85.6658 14.3342 0.0010 0.0011 11000000.00 6110045.53 0.0000 3.3407 0.1633
9.80 0 0.000000 0.000000 0.000000 1 11.200000 10.000000 0.000000 15.0147 -86.0894 13.9106 0.0016 0.0016 11000000.00 6105850.04 0.0000 3.3417 0.1651
9.90 0 0.000000 0.000000 0.000000 1 11.550000 10.000000 0.000000 15.2775 -86.5115 13.4885 0.0024 0.0024 11000000.00 6099468.09 0.0000 3.3431 0.1677
10.00 0 0.000000 0.000000 0.000000 1 11.900000 10.000000 0.000000 15.5438 -86.9318 13.0682 0.0037 0.0037 11000000.00 6089783.15 0.0000 3.3452 0.1718
10.10 0 0.000000 0.000000 0.000000 1 12.250000 10.000000 0.000000 15.8134 -87.3499 12.6501 0.0057 0.0057 11000000.00 6075123.16 0.0000 3.3485 0.1779
10.20 0 0.000000 0.000000 0.000000 1 12.600000 10.000000 0.000000 16.0860 -87.7657 12.2343 0.0086 0.0086 11000000.00 6052991.49 0.0000 3.3534 0.1871
10.30 0 0.000000 0.000000 0.000000 1 12.950000 10.000000 0.000000 16.3616 -88.1788 11.8212 0.0129 0.0131 11000000.00 6019670.36 0.0000 3.3609 0.2011
10.40 0 0.000000 0.000000 0.000000 1 13.300000 10.000000 0.000000 16.6400 -88.5891 11.4109 0.0195 0.0199 11000000.00 5969635.03 0.0000 3.3723 0.2221
10.50 0 0.000000 0.000000 0.000000 1 13.650000 10.000000 0.000000 16.9211 -88.9965 11.0035 0.0293 0.0302 11000000.00 5894683.84 0.0000 3.3897 0.2538
10.60 0 0.000000 0.000000 0.000000 1 14.000000 10.000000 0.000000 17.2047 -89.4007 10.5993 0.0439 0.0460 11000000.00 5782629.28 0.0000 3.4167 0.3015
10.70 0 0.000000 0.000000 0.000000 1 14.350000 10.000000 0.000000 17.4906 -89.8017 10.1983 0.0656 0.0702 11000000.00 5615275.52 0.0000 3.4589 0.3735
10.80 0 0.000000 0.000000 0.000000 1 14.700000 10.000000 0.000000 17.7789 -90.1992 9.8008 0.0976 0.1082 11000000.00 5365134.31 0.0000 3.5269 0.4835
10.90 0 0.000000 0.000000 0.000000 1 15.050000 10.000000 0.000000 18.0694 -90.5934 9.4066 0.1448 0.1693 11000000.00 4989707.44 0.0000 3.6418 0.6547
11.00 0 0.000000 0.000000 0.000000 1 15.400000 10.000000 0.000000 18.3619 -90.9840 9.0160 0.2140 0.2722 11000000.00 4421733.30 0.0000 3.8527 0.9333
11.10 0 0.000000 0.000000 0.000000 1 15.750000 10.000000 0.000000 18.6564 -91.3709 8.6291 0.3151 0.4597 11000000.00 3565184.09 0.0003 4.2978 1.4233
11.20 0 0.000000 0.000000 0.000000 1 16.100000 10.000000 0.000000 18.9528 -91.7543 8.2457 0.4624 0.8516 11000000.00 2391406.95 0.0045 5.4256 2.5539
11.30 0 0.000000 0.000000 0.000000 1 16.450000 10.000000 0.000000 19.2510 -92.1340 7.8660 0.6759 1.8864 11000000.00 1248336.78 0.0644 8.5623 5.7443
11.40 0 0.000000 0.000000 0.000000 1 16.800000 10.000000 0.000000 19.5510 -92.5100 7.4900 0.9844 5.6798 11000000.00 605246.89 0.8955 15.5350 10.5014
11.50 0 0.000000 0.000000 0.000000 1 17.150000 10.000000 0.000000 19.8525 -92.8822 7.1178 0.1933 0.2396 5500000.00 2985504.34 0.0000 4.7439 1.1454
11.60 0 0.000000 0.000000 0.000000 1 17.500000 10.000000 0.000000 20.1556 -93.2508 6.7492 0.2794 0.3876 5500000.00 2566172.38 0.0001 5.1923 1.6695
11.70 0 0.000000 0.000000 0.000000 1 17.850000 10.000000 0.000000 20.4603 -93.6156 6.3844 0.4025 0.6707 5500000.00 1965160.75 0.0017 6.1686 2.5554
11.80 0 0.000000 0.000000 0.000000 1 18.200000 10.000000 0.000000 20.7663 -93.9767 6.0233 0.5775 1.3162 5500000.00 1242575.07 0.0214 8.5928 4.9562
11.90 0 0.000000 0.000000 0.000000 1 18.550000 10.000000 0.000000 21.0737 -94.3341 5.6659 0.8256 3.2347 5500000.00 666574.23 0.2614 14.2897 9.4482
12.00 0 0.000000 0.000000 0.000000 1 18.900000 10.000000 0.000000 21.3825 -94.6878 5.3122 0.4326 0.7574 2000000.00 889014.70 0.0028 11.2147 5.0855
12.10 0 0.000000 0.000000 0.000000 1 19.250000 10.000000 0.000000 21.6925 -95.0378 4.9622 0.6139 1.5050 2000000.00 599857.58 0.0329 15.6566 8.9203
12.20 0 0.000000 0.000000 0.000000 1 19.300000 10.000000 0.000000 21.7368 -95.0875 4.9125 0.6452 1.6873 2000000.00 559895.17 0.0465 16.6313 9.5943
12.30 0 0.000000 0.000000 0.000000 1 19.350000 10.000000 0.000000 21.7812 -95.1372 4.8628 0.6780 1.9013 2000000.00 521366.31 0.0659 17.7126 10.2429
12.40 0 0.000000 0.000000 0.000000 1 19.400000 10.000000 0.000000 21.8257 -95.1867 4.8133 0.7125 2.1539 2000000.00 484601.00 0.0932 18.9046 11.2115
12.50 0 0.000000 0.000000 0.000000 1 19.450000 10.000000 0.000000 21.8701 -95.2362 4.7638 0.2754 0.3799 1000000.00 627539.06 0.0001 15.0542 5.5832
12.60 0 0.000000 0.000000 0.000000 1 19.500000 10.000000 0.000000 21.9146 -95.2856 4.7144 0.2894 0.4069 1000000.00 614440.18 0.0002 15.3325 5.8716
12.70 0 0.000000 0.000000 0.000000 1 19.550000 10.000000 0.000000 21.9591 -95.3350 4.6650 0.3040 0.4364 1000000.00 600707.73 0.0002 15.6372 6.1754
12.80 0 0.000000 0.000000 0.000000 1 19.600000 10.000000 0.000000 22.0036 -95.3842 4.6158 0.3193 0.4687 1000000.00 586324.19 0.0003 15.9718 6.4954
12.90 0 0.000000 0.000000 0.000000 1 19.650000 10.000000 0.000000 22.0482 -95.4334 4.5666 0.3354 0.5040 1000000.00 571276.21 0.0005 16.3398 6.8320
13.00 0 0.000000 0.000000 0.000000 1 19.700000 10.000000 0.000000 22.0928 -95.4825 4.5175 0.3523 0.5430 1000000.00 555556.07 0.0007 16.7456 7.1857
13.10 0 0.000000 0.000000 0.000000 1 19.750000 10.000000 0.000000 22.1374 -95.5316 4.4684 0.3700 0.5859 1000000.00 539163.46 0.0010 17.1939 7.5565
13.20 0 0.000000 0.000000 0.000000 1 19.800000 10.000000 0.000000 22.1820 -95.5806 4.4194 0.3886 0.6334 1000000.00 522107.54 0.0013 17.6903 7.9443
13.30 0 0.000000 0.000000 0.000000 1 19.850000 10.000000 0.000000 22.2266 -95.6295 4.3705 0.4081 0.6863 1000000.00 504409.11 0.0019 18.2408 8.3484
13.40 0 0.000000 0.000000 0.000000 1 19.900000 10.000000 0.000000 22.2713 -95.6783 4.3217 0.4285 0.7452 1000000.00 486102.90 0.0027 18.8524 8.7676
13.50 0 0.000000 0.000000 0.000000 1 19.950000 10.000000 0.000000 22.3160 -95.7270 4.2730 0.4499 0.8111 1000000.00 467239.77 0.0037 19.5328 9.1996
13.60 0 0.000000 0.000000 0.000000 1 20.000000 10.000000 0.000000 22.3607 -95.7757 4.2243 0.4724 0.8853 1000000.00 447888.59 0.0052 20.2903 9.6413
13.70 0 0.000000 0.000000 0.000000 1 20.050000 10.000000 0.000000 22.4054 -95.8243 4.1757 0.4959 0.9690 1000000.00 428137.52 0.0074 21.1340 10.2142
13.80 0 0.000000 0.000000 0.000000 1 20.100000 10.000000 0.000000 22.4502 -95.8728 4.1272 0.5205 1.0641 1000000.00 408094.41 0.0104 22.0738 11.1343
13.90 0 0.000000 0.000000 0.000000 1 20.150000 10.000000 0.000000 22.4949 -95.9213 4.0787 0.5464 1.1725 1000000.00 387886.04 0.0145 23.1196 12.0960
14.00 0 0.000000 0.000000 0.000000 1 20.200000 10.000000 0.000000 22.5397 -95.9697 4.0303 0.5735 1.2967 1000000.00 367655.90 0.0204 24.2817 13.0868
14.10 0 0.000000 0.000000 0.000000 1 20.250000 10.000000 0.000000 22.5846 -96.0180 3.9820 0.6019 1.4398 1000000.00 347560.47 0.0286 25.5700 14.0897
14.20 0 0.000000 0.000000 0.000000 1 20.300000 10.000000 0.000000 22.6294 -96.0662 3.9338 0.6316 1.6057 1000000.00 327764.08 0.0401 26.9936 15.0830
14.30 0 0.000000 0.000000 0.000000 1 20.350000 10.000000 0.000000 22.6743 -96.1144 3.8856 0.6628 1.7988 1000000.00 308432.47 0.0562 28.5601 16.0395
14.40 0 0.000000 0.000000 0.000000 1 20.400000 10.000000 0.000000 22.7192 -96.1625 3.8375 0.6954 2.0251 1000000.00 289725.82 0.0787 30.2750 16.9278
14.50 0 0.000000 0.000000 0.000000 1 20.450000 10.000000 0.000000 22.7641 -96.2105 3.7895 0.7296 2.2916 1000000.00 271791.59 0.1101 32.1407 18.0413
14.60 0 0.000000 0.000000 0.000000 1 20.500000 10.000000 0.000000 22.8090 -96.2585 3.7415 0.7655 2.6074 1000000.00 254758.04 0.1540 34.1560 19.3430
14.70 0 0.000000 0.000000 0.000000 1 20.550000 10.000000 0.000000 22.8539 -96.3064 3.6936 0.8030 2.9837 1000000.00 238729.04 0.2153 36.3151 20.5092
14.80 0 0.000000 0.000000 0.000000 1 20.600000 10.000000 0.000000 22.8989 -96.3542 3.6458 0.8424 3.4344 1000000.00 223780.61 0.3009 38.6073 21.4877
14.90 0 0.000000 0.000000 0.000000 1 20.650000 10.000000 0.000000 22.9439 -96.4019 3.5981 0.8835 3.9775 1000000.00 209959.55 0.4203 41.0170 22.2300
